Passage_ID,passage,original_id
565747_24_50,"My boyfriend did not know what happened, but called that day and said, “I
was really worried about you last night, you scared me, did you make it
home okay?” I was horrified. That’s when I learned I had called him that
night in my blackout, left an incomprehensible voicemail, that we had also
spoken on the phone, but I was slurring so heavily he was scared for me,
that he repeatedly told me to go find my sister. Again, he asked me, “What
happened last night? Did you make it home okay?” I said yes, and hung up
to cry. I was not ready to tell my boyfriend or parents that actually, I may have
been raped behind a dumpster, but I don’t know by who or when or how. If
I told them, I would see the fear on their faces, and mine would multiply by
tenfold, so instead I pretended the whole thing wasn’t real. I tried to push it out of my mind, but it was so heavy I didn’t talk, I didn’t
eat, I didn’t sleep, I didn’t interact with anyone. After work, I would drive
to a secluded place to scream. I didn’t talk, I didn’t eat, I didn’t sleep, I
didn’t interact with anyone, and I became isolated from the ones I loved
most. For over a week after the incident, I didn’t get any calls or updates
about that night or what happened to me.",Know_My_Name_24_50
281771_3_35,"And on the landing was a stone statue that frightened Beauty. It
was a pagan god of some sort with an erect phallus. It was onto this phallus that Prince Alexi was now thrust, his legs
bound apart on the pedestal of the statue. His head was laid back on
the statue's shoulder. He gave another moan as the phallus impaled
him and then he lay still as Squire Felix bound his hands behind his
back. The statue's right arm was upraised, the stone ﬁngers of the hand
forming a circle as if they had once clasped a knife or some other
instrument. And now the Squire carefully positioned Prince Alexi's
head on the shoulder of the statue beneath that hand. And through the clasped hand, he placed a leather phallus,
anchoring it so that it ﬁt into Prince Alexi's mouth. It seemed now that the statue raped him both through his anus and
through his mouth, and he was bound to it. And his organ, as stiﬀ as
before, lay thrust forward as the phallus of the statue was inside of
him.",The_Claiming_of_Sleeping_Beauty_3_35
340849_13_16,"... and you're twenty-one,
aren't you? So what are you going to do? Call the cops because I kissed you and
took my pants off?"" But she felt raped anyway. He had taken photographs she hadn't wanted him to take, and seduced her into
exposing more of herself than she wanted, and he had tried to take advantage of
her sexually when she was drunk. The odd thing was that she had never gotten
drunk on a glass and a half of wine before. And even now, she felt ghastly. ""I'm
sick of playing games with you, Grace. I've invested a lot of time, and patience,
and Saturday afternoons and pasta dinners. We should have been in bed two
weeks ago. I'm not fourteen.",malice_13_16
565747_21_10,"Verbal consent is often mocked for killing the mood. But think of how
much organic communication we do in life. A sampling table at the grocery
store; you pick up a cracker, make eye contact with the vendor, May I? and
they nod, Enjoy. Subtle and swift. What I never say out loud is that rape makes you want to turn into wood,
hard and impenetrable. The opposite of a body that is meant to be tender,
porous, soft. Sometimes I’m too angry, seething after reading a rape story, I
need to slice a dick off. Sometimes my desire fluctuates, dips to depletion. I
wouldn’t notice if I didn’t have a partner, but once you shrug off affection
for the sixth time something’s amiss.",Know_My_Name_21_10
223085_53_68,"Wintrow could see her deciding how much to share with
him. When she spoke, she told things in a bare, bald way, her voice becoming
dispassionate as she approached more recent events. Perhaps it was the only
way she could speak of them. She did not look at Wintrow, but spoke directly
to Malta of the sinking of Paragon with all hands, including Brashen Trell. In
a cold flat voice, she spoke of her rape. Wintrow lowered his eyes, shocked
by the flare of both understanding and hatred in Malta’s eyes. He did not
interrupt her. He kept his peace until she said, ‘Of course, no one aboard
believes me. Kennit has impressed them all with his gentlemanly ways. Even
my own ship doubts me.’
Wintrow’s throat and mouth were dry.",Liveship_Ship_of_Destiny_53_68
917330_30_23,"She was incapable of acknowledging that anything was wrong in her
life or mine.”
“I’ve met her. She’s not my favourite in the family.”
“She’s been like that her whole life. I’ve often wondered about my parents’ relationship. I realised that they rarely or
maybe never had sex with each other after I was born. My father had women, but for some strange reason he was
afraid of Isabella. He stayed away from her, but he couldn’t get a divorce.”
“No-one does in the Vanger family.”
She laughed for the first time. “No, they don’t. But the point is that I couldn’t bring myself to say anything. The whole world would have found out. My
schoolmates, all my relatives …”
“Harriet, I’m so sorry.”
“I was fourteen when he raped me the first time.",The_Girl_With_The_Dragon_Tattoo_30_23
330562_9_32,"He dug an arched cave inside a
hill near the quarry and waited. She was the youngest one. [ 1 8 1 ]

Alice Sebold

Wendy Richter. Connecticut, 1971. Thirteen. She was waiting for her father outside a bar. He raped her in
the bushes and then strangled her. That time, as he grew conscious, coming up out of the stupor that often clung on, he heard
noises. He turned the dead girl’s face toward his, and as the voices
grew closer he bit down on her ear. “Sorry, man,” he heard two
drunk men say as they walked into the nearby bushes to take a
leak.",The_Lovely_Bones_9_32
131302_23_21,"You are finally starting to act like a royal. Any other woman
and I would have been patting you on the back and complimenting your
technique. You bypassed many of the common blunders—for instance, you
weren’t in her rooms, thus greatly lessening the chance, under normal
circumstances, that her husband would walk in. And those little love marks
you left on her—even if her husband never found out who did it, he would
know she had been raped or seduced. Either way it’s a black mark on his
honor.” He paused. “The bondage was an odd choice. Was that my wife’s
suggestion?”
Kihrin shook his head. “Mine.”
“Why?”
The boy shrugged. “I like it that way sometimes.”
“Huh. Everyone has their tastes, I suppose, but I recommend you stamp
down on that fetish.",The_Ruin_of_Kings_23_21
565747_22_4,"But this is not what we’re asking. All the school can do is say, you
cannot study here anymore, you cannot use our library anymore, or the
cafeteria, you have to go find another library and cafeteria. If students can
be swiftly expelled for plagiarism or dealing drugs, the same punishment
should be inflicted if there’s enough evidence to suggest they pose a threat
to others. Oh but his reputation! That’s really where he suffers. My advice
is, if he’s worried about his reputation, don’t rape anyone. • • •
Brock wrote, Before this happened, I never had any trouble with law
enforcement and I plan on maintaining that. On November 15, 2014, three
months before my assault, Deputy Shaw spotted a few young men walking
through Stanford campus with beer cans. When apprehended, they ran. One
guy was caught and detained, confessed the guy who escaped was Brock.",Know_My_Name_22_4
466796_4_6,"I fled. Sometime later, they found me by the gnarled ankles of an olive tree. I
was limp and pale, surrounded by my own vomit. The dice were gone, lost
in my flight. My father stared down angrily at me, his lips drawn back to
show his yellowing teeth. He gestured, and the servants lifted me and
carried me inside. The boy’s family demanded immediate exile or death. They were
powerful, and this was their eldest son. They might permit a king to burn
their fields or rape their daughters, as long as payment was made. But you
did not touch a man’s sons.",The_Song_of_Achilles_4_6
